name,region,variety,rating,notes
3 Rings Reserve Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,96.0,"Vintage Comments : Classic Barossa vintage conditions. An average wet Spring followed by extreme heat in early February. Occasional rainfall events kept the vines in good balance up to harvest in late March 2004. Very good quality coupled with good average yields. More than 30 months in wood followed by six months tank maturation of the blend prior to bottling, July 2007. "
Abreu Vineyards Cappella 2007,"Napa Valley, California",Red Wine,96.0,"Cappella is a proprietary blend of two clones of Cabernet Sauvignon with Cabernet Franc, Petit Verdot and Merlot. The gravelly soil at Cappella produces fruit that is very elegant in structure. The resulting wine exhibits beautiful purity of fruit with fine grained and lengthy tannins. "
Abreu Vineyards Cappella 2010,"Napa Valley, California",Red Wine,98.0,"Cappella is one of the oldest vineyard sites in St. Helena. Six acres that sit alongside a Catholic cemetery on the west side of town, it was first planted in 1869. In the 1980s the church asked David to tear out the old vines, then he watched as the land lay fallow for close to two decades. When he finally got the chance to replant, he jumped. He'd tasted fruit from Cappella in the 70s. He knew what kind of wine it could make. But that first replant was ill-fated thanks to diseased rootstock, and once again he was ripping out vines. “It took us six years before we had a crop. We could have ignored it, pulled the vines out one by one as they collapsed. But then we'd have all these different ripening patterns, which would impact consistency. It was an easy decision.”"
Abreu Vineyards Howell Mountain 2008,"Howell Mountain, Napa Valley, California",Red Wine,96.0,"When David purchased this Howell Mountain property in 2000 it came with an unexpected perk: first growth redwood stakes dating back over a century. Relics of an earlier era of agriculture. “When the college owned this site they'd burn all the underbrush, including the stakes, to keep it clean. When I came in we found them and set them all aside,” he says. At about 2000 feet elevation, Las Posadas sits above the fog line, surrounded by a protected forest of fir and pine. Red Aiken soils are layered over white tufa, and the rocks that littered the site before it was planted now form walls defining the property. The redwood stakes—collected, stacked, preserved—await their next life."
Abreu Vineyards Howell Mountain 2009,"Howell Mountain, Napa Valley, California",Red Wine,98.0,"As a set of wines, it is hard to surpass the four cuvees from the estate vineyards of David Abreu. As I have written many times in the past, all of these wines are truly world-class efforts that stand alongside proprietary red wines made from Bordeaux varietals from any appellation in the world. "
Abreu Vineyards Las Posadas Howell Mountain 2012,"Howell Mountain, Napa Valley, California",Red Wine,99.0,"At about 2000 feet elevation, Las Posadas sits above the fog line, surrounded by a protected forest of fir and pine. Red Aiken soils are layered over white tufa, and the rocks that littered the site before it was planted now form walls defining the property."
Abreu Vineyards Madrona Ranch 1993,"Napa Valley, California",Red Wine,96.0,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years and receives an addition two years of bottle age prior to release.
Abreu Vineyards Madrona Ranch 1996,"Napa Valley, California",Red Wine,98.0,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years and receives an addition two years of bottle age prior to release.
Abreu Vineyards Madrona Ranch 2003,"Napa Valley, California",Red Wine,96.0,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years. The wine receives an addition two years of bottle age prior to release.
Abreu Vineyards Madrona Ranch 2004,"Napa Valley, California",Red Wine,96.0,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years. The wine receives an addition two years of bottle age prior to release.
Abreu Vineyards Madrona Ranch 2005,"Napa Valley, California",Red Wine,98.0,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years. The wine receives an addition two years of bottle age prior to release.
Abreu Vineyards Thorevilos 2009,"Napa Valley, California",Red Wine,98.0,"The blend for this cuvee is generally an intriguing combination of Cabernet Sauvignon, Cabernet Franc and the rest Petit Verdot with just a tiny dollop of Merlot. "
Abreu Vineyards Thorevilos 2012,"Napa Valley, California",Red Wine,99.0,"Sitting 800 feet above the valley floor, wedged between the St. Helena and Howell Mountain AVAs, Thorevilos doesn't belong to any sub-appellation. “It's an outlier,” David says. When the AVA boundaries were being determined, he could have argued to have it included. “But it wouldn't have made any difference to the vineyard. Or the wine.”"
Abreu Vineyards Thorevilos 2014,"Napa Valley, California",Red Wine,97.0,"Sitting 800 feet above the valley floor, wedged between the St. Helena and Howell Mountain AVAs, Thorevilos doesn't belong to any sub-appellation. ""It's an outlier,” David says. When the AVA boundaries were being determined, he could have argued to have it included. “But it wouldn't have made any difference to the vineyard. Or the wine."""
Abreu Vineyards Thorevilos 2015,"Napa Valley, California",Red Wine,97.0,"Thorevilos was one of David's favorite haunts as a child. There were no vines then. Just pine trees, redwoods, an old olive grove. And a rusted hog wire hanging from a tree—“Hook Man” in Abreu family lore. These days it's the dirt that engrosses him. White tufa that turns to fine powder when you grind it beneath your foot. Tannish soil peppered with orange-brown pebbles. Streaks of dry, red earth. Sitting 800 feet above the valley floor, wedged between the St. Helena and Howell Mountain AVAs, Thorevilos doesn't belong to any sub-appellation. “It's an outlier,” David says. When the AVA boundaries were being determined, he could have argued to have it included. “But it wouldn't have made any difference to the vineyard. Or the wine.” "
Accendo Cellars Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,96.0,"Reflecting the outstanding vintage, the captivating nose of this wine shows dark and brooding aromas of cassis,plum and blackberry, touched by exotic notes of lavender, anise, pencil lead and leather. On the palate, rich flavorsof ripe black fruits are wrapped around a firm structure of fine-grained tannins, minerality and beautiful freshnessthat carry on into the long, satisfying finish. Per winemakers Françoise Peschon and Nigel Kinsman: “The consistency ofan exceptional vintage is expressed in the purity, length and fineness of this wine – it is deep and powerful, yet perfectly integrated, seamlessfrom approach to finish, full of plush flavor from ripe fruit, ending with silky tannins and graphite that linger on the palate.”"
Agharta Black Label Red 2004,"North Coast, California",Red Wine,98.0,"Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth. This wine isn’t noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine. "
Agharta Syrah (1.5 Liter Magnum) 2004,"North Coast, California",Red Wine,98.0,"Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth.  This wine isn't noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine."
Agharta Syrah 2004,"North Coast, California",Red Wine,98.0,"""Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth.  This wine isn't noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine."""
Alain Voge Cornas Vieilles Vignes 2010,"Cornas, Rhone, France",Red Wine,99.0,"Cornas ""Les Vieilles Vignes"" comes from Syrah vineyards, more than 30 years old, on decomposed granite slopes, also alled ""gore"". This wine is a lighter style, with some good violet and dark red fruit."
Alban Lorraine Estate Syrah 2005,"Edna Valley, Central Coast, California",Red Wine,96.0,"The finest Syrah John Alban has yet produced, its inky/ruby/purple hue is accompanied by gorgeously sweet aromas of flowers, blueberries, black raspberries, blackberries, and subtle hints of smoky oak, bacon fat, and licorice. "
Alban Pandora 2006,"Edna Valley, Central Coast, California",Red Wine,97.0,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
Alban Pandora 2009,"Edna Valley, Central Coast, California",Red Wine,97.0,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
Alban Pandora 2013,"Edna Valley, Central Coast, California",Red Wine,99.0,"In the myth, Pandora is the first woman- the Greek ‘Eve’.  She is fashioned out of clay and as you know, handed a vessel that she is instructed not to open.  Of course, curiosity forces her to take a look.  In that moment, all the challenges of the world are released- much like the effect of the apple in Eden.  What is all too often overlooked is that Pandora shuts the vessel in time to retain one attribute: Hope.  Naturally as the first woman, she is the source of all hope for mankind.  "
Alban Reva Estate Syrah 2011,"Edna Valley, Central Coast, California",Red Wine,96.0,"Smoke, graphite, iodine and chocolate all show in this full-bodied, concentrated, yet fresh and lively Syrah. It will benefit from short-term cellaring and 15 years of longevity. "
Albert Boxler Riesling Grand Cru Brand Kirchberg 2016,"Alsace, France",White Wine,98.0,"ne whiff of this might make you want to plunge right into the glass. Once the wine hits your tongue... Nope, zingy lemon, delicate white flowers, rich mineral backbone, beautiful mouthwatering finish, incredible length... (though all true) will not come close to summing up the experience of enjoying this wine. How’s “Buy as much as you can get” for a tasting note? It’s a classic!"
Albert Boxler Riesling Grand Cru Sommerberg Eckberg 2016,"Alsace, France",White Wine,98.0,"My favorite Riesling in the store (perhaps ever). Zesty, minerally, intensely aromatic, boundlessly deep—my Alsatian ancestry approves!"
Albino Rocca Barbaresco Ronchi 2014,"Barbaresco, Piedmont, Italy",Red Wine,96.0,"Deep garnet red. Intense, frank and fruity on the nose with aromas of cherry, blackberry, vanilla, toasted nuts, sweet spices, complex, balsamic and mineral notes. The palate is rich, soft and fresh with fine tannins and a good persistence."
Aldo Conterno Granbussia Barolo Riserva 2008,"Barolo, Piedmont, Italy",Red Wine,96.0,"The Barolo Reserve Granbussia is produced by blending grapes from the oldest vines, from the Romirasco, Cicala, and Colonnello, before fermentation starts, in the following percentages respectively: 70% - 15% - 15%. Naturally these optimal values may vary depending on the year. The Granbussia remains in the cellar for at least 8 years before commercialization. It  is produced exclusively in the best years and in limited quantities. "
Aldo Conterno Granbussia Barolo Riserva 2009,"Barolo, Piedmont, Italy",Red Wine,97.0,"The Barolo Reserve Granbussia is produced by blending grapes from the oldest vines, from the Romirasco, Cicala, and Colonnello, before fermentation starts, in the following percentages respectively: 70% - 15% - 15%. Naturally these optimal values may vary depending on the year. The Granbussia remains in the cellar for at least 8 years before commercialization. It  is produced exclusively in the best years and in limited quantities. "
Alejandro Bulgheroni Lithology Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,97.0,Alejandro Bulgheroni Estate Lithology is a series of single vineyard and AVA-designated wines made from select sites within Napa Valley. Lithology Beckstoffer To Kalon Vineyard is produced solely from fruit grown in the historic Beckstoffer to Kalon Vineyard planted in 1865 by W.H. Crabb and represents Oakville's famous bench land.
Almaviva (1.5 Liter Magnum) 2009,Chile,Red Wine,96.0,"Made from a blend of classic Bordeaux varieties, in which Cabernet Sauvignon predominates, Almaviva is the result of a felicitous encounter between two cultures.  Chile offers its soil, its climate and its vineyards, while France contributes its winemaking savoir-faire and traditions. The result is an exceptionally elegant and complex wine.  Its launch was a major milestone in the development of Chilean wines, both in Chile itself and in the international market."
Almaviva (1.5 Liter Magnum) 2018,"Maipo Valley, Chile",Red Wine,96.0,"Attractive dark ruby color, deep and opaque. The nose is pure, focused and layered, revealing delicate and clean aromas of blackberries, ripe cassis, currants and violet, associated with fine notes of tobacco, cedar and coffee bean. The mouth shows outstanding amplitude and balance, luscious texture, bright acidity, broad structure and persistence. The tannins are well refined, smooth and silky, enhancing the fresh and juicy character of the year. Precise and polished, the wine combines harmonious elegance, richness, ripeness and freshness in an exceptional and superb vintage."
Almaviva 2009,"Maipo Valley, Chile",Red Wine,96.0,"Made from a blend of classic Bordeaux varieties, in which Cabernet Sauvignon predominates, Almaviva is the result of a felicitous encounter between two cultures.  Chile offers its soil, its climate and its vineyards, while France contributes its winemaking savoir-faire and traditions. The result is an exceptionally elegant and complex wine.  Its launch was a major milestone in the development of Chilean wines, both in Chile itself and in the international market."
Almaviva 2018,"Maipo Valley, Chile",Red Wine,96.0,"Attractive dark ruby color, deep and opaque. The nose is pure, focused and layered, revealing delicate and clean aromas of blackberries, ripe cassis, currants and violet, associated with fine notes of tobacco, cedar and coffee bean. The mouth shows outstanding amplitude and balance, luscious texture, bright acidity, broad structure and persistence. The tannins are well refined, smooth and silky, enhancing the fresh and juicy character of the year. Precise and polished, the wine combines harmonious elegance, richness, ripeness and freshness in an exceptional and superb vintage."
Almaviva (3 Liter) 2018,"Maipo Valley, Chile",Red Wine,96.0,"Attractive dark ruby color, deep and opaque. The nose is pure, focused and layered, revealing delicate and clean aromas of blackberries, ripe cassis, currants and violet, associated with fine notes of tobacco, cedar and coffee bean. The mouth shows outstanding amplitude and balance, luscious texture, bright acidity, broad structure and persistence. The tannins are well refined, smooth and silky, enhancing the fresh and juicy character of the year. Precise and polished, the wine combines harmonious elegance, richness, ripeness and freshness in an exceptional and superb vintage."
Almaviva (375ML half-bottle) 2009,Chile,Red Wine,96.0,"Made from a blend of classic Bordeaux varieties, in which Cabernet Sauvignon predominates, Almaviva is the result of a felicitous encounter between two cultures.  Chile offers its soil, its climate and its vineyards, while France contributes its winemaking savoir-faire and traditions. The result is an exceptionally elegant and complex wine.  Its launch was a major milestone in the development of Chilean wines, both in Chile itself and in the international market."
Almaviva (6 Liter) 2018,"Maipo Valley, Chile",Red Wine,96.0,"Attractive dark ruby color, deep and opaque. The nose is pure, focused and layered, revealing delicate and clean aromas of blackberries, ripe cassis, currants and violet, associated with fine notes of tobacco, cedar and coffee bean. The mouth shows outstanding amplitude and balance, luscious texture, bright acidity, broad structure and persistence. The tannins are well refined, smooth and silky, enhancing the fresh and juicy character of the year. Precise and polished, the wine combines harmonious elegance, richness, ripeness and freshness in an exceptional and superb vintage."
Alphonse Mellot Edmond Sancerre Blanc 2012,"Sancerre, Loire, France",White Wine,96.0,"Pale gold yellow in colour with light green sheen - brilliant, bright and clear - a young, honest appearance. A rich and majestic nose. All is rich, ripe and powerful, whether it is fruity or floral. Density, depth and balanced graceful ""majestic nature"" are established from the outset. Honey, vanilla, lemon, brioche etc., follow each other as if in a daydream, all orchestrated through a new woody tone. Opening it makes it welcoming and tender with crisp plants revealing aniseed, menthol, licorice and spices."
Altesino Montosoli Brunello di Montalcino 2001,"Montalcino, Tuscany, Italy",Red Wine,96.0,"""Very beautiful aromas of flowers, ripe fruit and crushed blackberries. Full-bodied yet refined. Layers of tannins. Balanced. Montosoli is a great Brunello vinyard. Best after 2008.""  "
Alto Moncayo Aquilon 2004,Spain,Red Wine,96.0,"""The 1,000 case luxury cuvee, the 2004 Aquilon, was fashioned from the winery's oldest vines and best material. Revealing nearly off the chart ripeness, richness, and intensity, it will undoubtedly be controversial, separating traditionalists from more progressive tasters, but I loved it. It will be interesting to see how this tour de force in winemaking ages. It is the vino equivalent of a Hummer four-wheel drive vehicle."""
